ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",794611,0,0.4748,0.5091,0.0161,650548,0.7365,0.2635,0.1386,0.0401,0.0548,0.0307,0.0028,
"2",794612,0,0.4442,0.5335,0.0223,628519,0.6003,0.3997,0.1464,0.0274,0.0196,0.2083,0.0034,
"3",794612,0,0.7416,0.2358,0.0226,568035,0.2379,0.7621,0.582,0.1187,0.0377,0.0513,0.0046,
"4",794611,0,0.5176,0.4579,0.0245,628965,0.5942,0.4058,0.2314,0.0661,0.0728,0.0434,0.006,
"5",794612,0,0.3956,0.585,0.0193,584092,0.7041,0.2959,0.1537,0.0455,0.072,0.0256,0.0052,
"6",794611,0,0.4713,0.5092,0.0195,642434,0.6734,0.3266,0.2131,0.0435,0.0431,0.0321,0.0055,
"7",794611,0,0.6551,0.3233,0.0215,601175,0.329,0.671,0.5548,0.0495,0.0302,0.0582,0.0036,
"8",794610,0,0.408,0.5731,0.0189,628985,0.6864,0.3136,0.1809,0.0537,0.0531,0.0295,0.0036,
"9",794612,0,0.3557,0.6271,0.0172,609223,0.6228,0.3772,0.2581,0.0522,0.0347,0.0373,0.0052,
"",794611,0,0.479,0.5011,0.02,615775,0.5807,0.4193,0.2688,0.0545,0.0465,0.0576,0.0044,
