ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",781103,0,0.5537,0.4197,0.0266,625152,0.7322,0.2678,0.1578,0.0731,0.0275,0.0175,0.0017,
"2",781101,0,0.5817,0.3898,0.0285,626463,0.7387,0.2613,0.096,0.065,0.0778,0.0138,0.0012,
"3",781102,0,0.5668,0.4054,0.0277,611501,0.6427,0.3573,0.1948,0.0632,0.0851,0.0141,0.0017,
"4",781103,0,0.5743,0.4015,0.0242,615677,0.8058,0.1942,0.0508,0.0461,0.0714,0.0096,0.0011,
"5",781101,0,0.6814,0.2964,0.0222,631188,0.6694,0.3306,0.0939,0.0627,0.1383,0.0092,0.0012,
"6",781101,0,0.5585,0.4163,0.0251,624046,0.7959,0.2041,0.0919,0.0435,0.0526,0.0106,0.001,
"7",781102,0,0.8135,0.1683,0.0182,653761,0.4215,0.5785,0.1936,0.2427,0.1381,0.0139,0.002,
"8",781102,0,0.6012,0.3765,0.0223,637174,0.6911,0.3089,0.06,0.1233,0.1021,0.0091,0.0013,
"9",781102,0,0.5169,0.4601,0.023,638761,0.852,0.148,0.0484,0.0452,0.0167,0.0134,0.0012,
"Summary",781102,0,0.5991,0.3766,0.0243,629303,0.7043,0.2957,0.1097,0.0859,0.0791,0.0123,0.0014,
