ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",775375,0.0003,0.3967,0.5721,0.0313,633080,0.9086,0.0914,0.0162,0.0135,0.0085,0.0447,0.0011,
"2",774997,-0.0002,0.3598,0.6037,0.0366,606868,0.8917,0.1083,0.0382,0.0275,0.0085,0.0263,0.0008,
"3",775414,0.0003,0.5008,0.465,0.0342,597448,0.74,0.26,0.0881,0.1172,0.0351,0.0211,0.0011,
"4",774600,-0.0007,0.4497,0.5159,0.0344,593972,0.7842,0.2158,0.0705,0.0898,0.0295,0.0234,0.0011,
"5",774544,-0.0008,0.3759,0.5897,0.0344,606306,0.8661,0.1339,0.0413,0.0488,0.0121,0.0249,0.0008,
"6",775273,0.0001,0.6116,0.3635,0.0249,619426,0.7151,0.2849,0.0434,0.1084,0.1111,0.018,0.0012,
"7",775238,0.0001,0.4918,0.4775,0.0307,611160,0.8203,0.1797,0.0477,0.068,0.0376,0.0219,0.0012,
"8",775229,0.0001,0.5084,0.4605,0.0311,606390,0.7623,0.2377,0.0444,0.1515,0.0149,0.0231,0.0008,
"9",774962,-0.0003,0.3557,0.616,0.0283,606770,0.8959,0.1041,0.0314,0.0273,0.0166,0.0203,0.0006,
"10",775218,0.0001,0.4944,0.4782,0.0274,620272,0.7573,0.2427,0.0256,0.1309,0.0646,0.0166,0.0009,
"11",775568,0.0005,0.5783,0.3956,0.0261,624065,0.7086,0.2914,0.0447,0.1361,0.0913,0.0153,0.0008,
"12",775247,0.0001,0.7339,0.2408,0.0253,596111,0.4746,0.5254,0.0285,0.457,0.0261,0.0159,0.0008,
"13",775666,0.0006,0.7424,0.2299,0.0277,592734,0.3955,0.6045,0.0877,0.4685,0.0347,0.021,0.0012,
"Summary",775178,0.0014,0.5032,0.4667,0.0301,608816,0.7491,0.2509,0.0465,0.1404,0.038,0.0225,0.0009,
